tag	commit_date	toolchain	run	session	seconds	status
v3.25.0-stable	2024-06-13	go1.21.10	1	01a0a9cd-0f39-7343-b447-ff3ac85100a2	196	ok
v3.25.0-stable	2024-06-13	go1.21.10	2	01a0a9d0-1050-731c-9e11-c80c17bfc447	88	ok
v3.25.0-stable	2024-06-13	go1.21.10	3	01a0a9d1-650d-78d8-8018-1ee7f2d0b1bf	87	ok
v3.26.0-stable	2024-09-27	go1.21.10	1	01a0a9d3-43e7-7435-afaf-6221188ba175	114	ok
v3.26.0-stable	2024-09-27	go1.21.10	2	01a0a9d5-01f7-7373-814f-4aad3ca840c2	91	ok
v3.26.0-stable	2024-09-27	go1.21.10	3	01a0a9d6-628e-736d-a67c-7572f5e70bb9	87	ok
v3.27.0-stable	2024-11-25	go1.23.3	1	01a0a9d8-57bf-7120-aeba-e890c58a55c6	203	ok
v3.27.0-stable	2024-11-25	go1.23.3	2	01a0a9db-6f63-745d-ba45-b037d08c2363	86	ok
v3.27.0-stable	2024-11-25	go1.23.3	3	01a0a9dc-c0bf-73b7-a63c-338551c41c71	86	ok
v4.0.1-stable	2025-01-10	go1.23.3	1	01a0a9de-9a9e-7215-8e90-b86a0b3a340f	108	ok
v4.0.1-stable	2025-01-10	go1.23.3	2	01a0a9e0-3de5-7de0-a23f-06898f5a2d13	86	ok
v4.0.1-stable	2025-01-10	go1.23.3	3	01a0a9e1-9055-718f-bd18-53fc2b4ccd67	87	ok
v4.0.2-stable	2025-02-14	go1.23.3	1	01a0a9e3-6694-7e70-ae7b-3bc78a8e6a10	99	ok
v4.0.2-stable	2025-02-14	go1.23.3	2	01a0a9e4-eb1c-7756-acc5-1dadea2a5fc4	87	ok
v4.0.2-stable	2025-02-14	go1.23.3	3	01a0a9e6-3da0-704c-a05e-643a7de098e0	87	ok
v4.0.3-stable	2025-04-10	go1.23.3	1	01a0a9e8-1454-7175-bfbc-8c436bd56bd7	90	ok
v4.0.3-stable	2025-04-10	go1.23.3	2	01a0a9e9-73f0-71da-8fe8-34fc481a36f4	87	ok
v4.0.3-stable	2025-04-10	go1.23.3	3	01a0a9ea-c5b3-7a4d-bcb4-3a4bafe220bc	86	ok
v4.1.1-stable	2025-05-22	go1.23.3	1	01a0a9ec-9ff5-71eb-b772-944134277342	112	ok
v4.1.1-stable	2025-05-22	go1.23.3	2	01a0a9ee-54e9-7ebd-81a4-daedcae17335	87	ok
v4.1.1-stable	2025-05-22	go1.23.3	3	01a0a9ef-a6c3-7c6a-b376-4f92d5f3061e	83	ok
