tag	commit_date	toolchain	run	session	seconds	status
v4.5.1-stable	2026-02-09	go1.25.3	1	01a0b627-f267-7e87-a657-d8424cdd1549	305	ok
v4.5.1-stable	2026-02-09	go1.25.3	2	01a0b62c-9b38-75b6-8400-d70ae51ec4f9	313	ok
v4.5.1-stable	2026-02-09	go1.25.3	3	01a0b631-5ff1-7812-a8c4-ecd38e038d67	310	ok
v4.6.0-stable	2026-03-16	go1.25.3	1	01a0b636-cbc6-7ce6-9234-99b2dc4e8bfc	305	ok
v4.6.0-stable	2026-03-16	go1.25.3	2	01a0b63b-73c7-7bc9-8b5e-08614d217f42	296	ok
v4.6.0-stable	2026-03-16	go1.25.3	3	01a0b63f-f773-7f08-bfed-94a400f87162	293	ok
v4.7.0-stable	2026-05-01	go1.25.3	1	01a0b645-5b40-72f9-9761-9c073950046d	312	ok
v4.7.0-stable	2026-05-01	go1.25.3	2	01a0b64a-1ca6-78b7-ae0c-0c27836555c1	308	ok
v4.7.0-stable	2026-05-01	go1.25.3	3	01a0b64e-cf08-7e8a-8246-6502f157a4df	308	ok
v4.7.2-stable	2026-06-07	go1.25.3	1	01a0b654-2f4f-7399-922c-d335458a1a19	312	ok
v4.7.2-stable	2026-06-07	go1.25.3	2	01a0b658-f410-7188-805a-c3d24dfe442d	311	ok
v4.7.2-stable	2026-06-07	go1.25.3	3	01a0b65d-b22e-72be-a279-a1fdd3fa666b	314	ok
v4.7.3-stable	2026-06-11	go1.25.3	1	01a0b663-2b28-70ed-9aec-f3635d6348dd	322	ok
v4.7.3-stable	2026-06-11	go1.25.3	2	01a0b668-1560-77b1-8d04-b14399bfe8be	312	ok
v4.7.3-stable	2026-06-11	go1.25.3	3	01a0b66c-d81f-71bd-97b1-aaae6ee46870	313	ok
v4.7.4-stable	2026-07-14	go1.25.3	1	01a0b672-344a-728d-9417-7554d4f06aab	315	ok
v4.7.4-stable	2026-07-14	go1.25.3	2	01a0b677-0319-78bb-9317-14365237f4ba	311	ok
v4.7.4-stable	2026-07-14	go1.25.3	3	01a0b67b-c129-778a-9345-3b6b240ca9cb	307	ok
v5.0.0-stable	2026-08-10	go1.25.3	1	01a0b681-298d-7ec1-91ec-890526c6efce	264	ok
v5.0.0-stable	2026-08-10	go1.25.3	2	01a0b685-3014-73bf-add9-5ebaee16c5dc	264	ok
v5.0.0-stable	2026-08-10	go1.25.3	3	01a0b689-3569-794c-bee0-f8bad722b78e	260	ok
v5.0.1-stable	2026-08-26	go1.25.3	1	01a0b68d-cdbc-7def-9ba4-eba8849bda23	263	ok
v5.0.1-stable	2026-08-26	go1.25.3	2	01a0b691-d1f2-700e-b64d-c8ac4c6f915a	263	ok
v5.0.1-stable	2026-08-26	go1.25.3	3	01a0b695-d5b6-7a45-97cc-d13d3a0d966d	259	ok
v5.0.2-stable	2026-09-11	go1.25.3	1	01a0b69a-4cc0-7034-b621-0d34d8839509	258	ok
v5.0.2-stable	2026-09-11	go1.25.3	2	01a0b69e-3e4d-72ee-b2db-6a6110fcc231	259	ok
v5.0.2-stable	2026-09-11	go1.25.3	3	01a0b6a2-315a-753f-9f72-a80eea60c1cd	259	ok
