tag	commit_date	toolchain	run	session	seconds	status
v4.1.2-stable	2025-05-29	go1.23.3	1	01a0a9f4-1e7c-7f04-95a3-dd7bd98e9249	176	ok
v4.1.2-stable	2025-05-29	go1.23.3	2	01a0a9f6-ca85-7b24-bd6c-7efc3d8ac41a	83	ok
v4.1.2-stable	2025-05-29	go1.23.3	3	01a0a9f8-0e86-78a3-8bf9-1d4487936813	79	ok
v4.2.1-stable	2025-08-04	go1.23.9	1	01a0a9f9-ce45-7230-88c9-ef58977b3519	178	ok
v4.2.1-stable	2025-08-04	go1.23.9	2	01a0a9fc-8585-732b-af5f-bbd56869c587	80	ok
v4.2.1-stable	2025-08-04	go1.23.9	3	01a0a9fd-bf20-79e0-9929-889183802f61	80	ok
v4.3.0-stable	2025-09-10	go1.23.9	1	01a0a9ff-60a6-747e-984e-48dd280b2ae2	91	ok
v4.3.0-stable	2025-09-10	go1.23.9	2	01a0aa00-c43a-7c0b-8ff1-589972b4f875	81	ok
v4.3.0-stable	2025-09-10	go1.23.9	3	01a0aa01-ffc6-74ad-90e2-273dd00f7084	80	ok
v4.4.1-stable	2025-11-07	go1.25.3	1	01a0aa03-b573-793c-ba0f-10dd85abecd1	179	ok
v4.4.1-stable	2025-11-07	go1.25.3	2	01a0aa06-6ea3-7c01-b148-825f7bbf8d37	79	ok
v4.4.1-stable	2025-11-07	go1.25.3	3	01a0aa07-a62c-7dfd-b52d-f02607fd215a	82	ok
v4.5.1-stable	2026-02-09	go1.25.3	1	01a0aa09-5408-794e-ac4c-4355b25f0d67	106	ok
v4.5.1-stable	2026-02-09	go1.25.3	2	01a0aa0a-f0ff-7af3-b594-f0ad6b5ea017	80	ok
v4.5.1-stable	2026-02-09	go1.25.3	3	01a0aa0c-29e0-7231-9b63-f19583bd3d29	79	ok
v4.6.0-stable	2026-03-16	go1.25.3	1	01a0aa0d-ce13-7e4b-9350-7f9bb68cedce	96	ok
v4.6.0-stable	2026-03-16	go1.25.3	2	01a0aa0f-44df-74df-88c4-53f221d7e47c	80	ok
v4.6.0-stable	2026-03-16	go1.25.3	3	01a0aa10-7d7d-743b-af23-7b0910df68bd	80	ok
v4.7.0-stable	2026-05-01	go1.25.3	1	01a0aa12-34b5-703d-a86d-ac8f3eeff5d5	135	ok
v4.7.0-stable	2026-05-01	go1.25.3	2	01a0aa14-4401-7009-bb0e-cc9a9c2903e9	79	ok
v4.7.0-stable	2026-05-01	go1.25.3	3	01a0aa15-79a3-739e-a590-6ffbe8212764	80	ok
